response_id,survey_date,last_tool_used,age,age_group_self_reported,occupation,employment_status,prior_education,annual_income_usd,income_range_self_reported,favorite_color,region,urbanicity,household_size,daily_task,primary_ai_use_case,last_prompt,ai_feedback_comment,sentiment_label_self_reported,preferred_device,subscription_status,usage_frequency,monthly_ai_budget_usd,trust_level,privacy_concern,decision_stage,info_source,adoption_motivation,likelihood_to_recommend,satisfaction_score,age_group,income_group,high_value_user,likely_to_pay,feedback_sentiment,tool_group,trust_score_num,privacy_score_num
R100010,04/08/2026,ChatGPT/OpenAI,50.0,45-54,Graphic Designer,Self-employed,Bachelor's degree,96000.0,$75k-$99k,red,West,Suburban,2.0,researching products,Research,GIVE ME IDEAS FOR A WEEKEND TRIP.,I NEED MORE EXAMPLES BEFORE I JUDGE IT.,Neutral,Smartphone,Free,A few times a week,,Moderate,High,Purchase decision,News article,Have fun,5.0,2.0,45-54,$75K-$99K,No,No,Neutral,ChatGPT/OpenAI,3.0,3.0
R100011,2026-05-30,ChatGPT/OpenAI,21.0,18-24,Freelancer,Contract,Bachelor's degree,62000.0,$50k-$74k,Red,Northeast,Suburban,3.0,Healthcare admin notes,Personal organization,Make this spreadsheet easier to understand.,The answer looked confident but some facts were wrong.,Negative,Smartphone,Free,Monthly,0.0,High,High,Purchase decision,YouTube,Have fun,7.0,4.0,18-24,$40K-$74K,No,No,Negative,ChatGPT/OpenAI,4.0,3.0
R100012,2026-05-22,ChatGPT/OpenAI,48.0,45-54,Content Creator,Full-time,Bachelor's degree,99000.0,$75k-$99k,Red,International,Suburban,4.0,translation,Research,Translate this message into Spanish but keep it casual.,It made my work look more polished.,Positive,Desktop,Free,A few times a week,0.0,High,Extreme,Postpurchase behavior,Podcast,Improve writing,9.0,4.0,45-54,$75K-$99K,No,No,Positive,ChatGPT/OpenAI,4.0,4.0
R100013,2026-03-04,ChatGPT/OpenAI,48.0,45-54,Freelancer,Retired,Bachelor's degree,83000.0,$75k-$99k,Black,West,Urban,1.0,Summarizing articles,Shopping decisions,Summarize this article in plain English.," Great assistant, terrible source checker. ",Mixed,Smartphone,Free,Monthly,1.0,Moderate,Extreme,Postpurchase behavior,Friend/family,Have fun,2.0,3.0,45-54,$75K-$99K,No,No,Mixed,ChatGPT/OpenAI,3.0,4.0
R100014,2026-05-23,ChatGPT/OpenAI,65.0,65+,Nurse,Full-time,Bachelor's degree,87000.0,$75k-$99k,Purple,West,Urban,1.0,Healthcare admin notes,Research,Compare three laptops for a college student under $900.,It saved me an hour and made the task feel manageable.,Positive,Laptop,Paid individual,Daily,29.0,Very high,Low,Information search,YouTube,Save time,8.0,5.0,55+,$75K-$99K,Yes,No,Positive,ChatGPT/OpenAI,5.0,1.0
R100015,03/12/2026,ChatGPT/OpenAI,44.0,35-44,Product Manager,Full-time,Bachelor's degree,96000.0,$75k-$99k,Black,Midwest,Urban,3.0,Summarizing articles,Health information,Make this spreadsheet easier to understand.,It made me look bad in a meeting because I trusted it.,Ugly,Laptop,Paid individual,Daily,41.0,Very low,Moderate,Postpurchase behavior,Friend/family,Save time,1.0,,35-44,$75K-$99K,Yes,No,Ugly,ChatGPT/OpenAI,1.0,2.0
R100016,02/01/2026,ChatGPT/OpenAI,29.0,25-34,Accountant,Student,Bachelor's degree,19000.0,<$25k,Teal,West,Urban,2.0,Researching products,Productivity,Suggest questions to ask before buying a used car.,"Great assistant, terrible source checker.",Mixed,Smartphone,Paid work/school,Weekly,14.0,High,High,Evaluation of alternatives,Podcast,Improve writing,4.0,3.0,25-34,Under $40K,No,No,Mixed,ChatGPT/OpenAI,4.0,3.0
R100017,03/14/2026,ChatGPT/OpenAI,35.0,45-54,Consultant,Student,Bachelor's degree,91000.0,$75k-$99k,Blue,South,Urban,1.0,Social media captions,Data analysis,Find patterns in this survey data.,It helped me organize my thoughts when I was stuck.,Positive,Smartphone,Free,A few times a week,8.0,High,Low,Postpurchase behavior,Podcast,Learn faster,10.0,5.0,35-44,$75K-$99K,No,No,Positive,ChatGPT/OpenAI,4.0,1.0
R100018,2026-02-25 ,ChatGPT/OpenAI,43.0,35-44,Lawyer,Freelance,Bachelor's degree,148000.0,$50k-$74k,Gray,South,Suburban,,Job applications,Entertainment,COMPARE THREE LAPTOPS FOR A COLLEGE STUDENT UNDER $900.,I feel like companies are pushing this before it is ready.,Ugly,Laptop,Paid individual,Daily,,Low,High,Problem recognition,Friend/family,curiosity,1.0,1.0,35-44,$100K-$149K,Yes,No,Ugly,ChatGPT/OpenAI,2.0,3.0
R100019,2026-05-08,ChatGPT/OpenAI,39.0,35-44,Teacher,Full-time,Trade/Certificate,71000.0,$50k-$74k,grey,Midwest,Suburban,4.0,Healthcare admin notes,Health information,Can you check if this source is credible?,I stopped using it after it made a mistake at work.,Negative,Smartphone,Free,Daily,25.0,Moderate,,Evaluation of alternatives,Social media,Learn faster,3.0,2.0,35-44,$40K-$74K,No,No,Negative,ChatGPT/OpenAI,3.0,
R100020,2026-04-09,ChatGPT/OpenAI,29.0,25-34,Researcher,Full-time,Bachelor's degree,103000.0,$100k-$149k,Purple,Northeast,Rural,1.0,Budget planning,Personal organization,Translate this message into Spanish but keep it casual.,"USEFUL FOR DRAFTS, BUT I WOULD NEVER SEND THE FIRST VERSION.",Mixed,Desktop,Paid work/school,A few times a week,19.0,Very high,High,Information search,Ad,Be more creative,7.0,5.0,25-34,$100K-$149K,Yes,No,Mixed,ChatGPT/OpenAI,5.0,3.0
R100021,15-02-2026,ChatGPT/OpenAI,50.0,45-54,Sales Associate,Student,Some college,46000.0,$25k-$49k,Ivory,Midwest,Suburban,2.0,Personal finance,Creative writing,Can you check if this source is credible?,The answer looked confident but some facts were wrong.,Negative,Laptop,Free,Monthly,0.0,High,High,Postpurchase behavior,Search engine,Compare options,1.0,2.0,45-54,$40K-$74K,No,No,Negative,ChatGPT/OpenAI,4.0,3.0
R100022,08-03-2026,ChatGPT/OpenAI,,45-54,STUDENT,Full-time,Bachelor's degree,41000.0,$25k-$49k,Black,Midwest,Urban,1.0,Translation,Coding,Summarize this article in plain English.,"It is worth trying, but not worth paying for yet.",Mixed,Smartphone,Free,Daily,0.0,Moderate,,,Coworker,Compare options,7.0,,Unknown,$40K-$74K,No,No,Mixed,ChatGPT/OpenAI,3.0,
R100023,2026-04-06,ChatGPT/OpenAI,55.0,55-64,Consultant,,High school,99000.0,$75k-$99k,White,West,Suburban,5.0,Data analysis,Productivity,Suggest questions to ask before buying a used car.,I like how fast it gives me a first draft.,Positive,Smartphone,Paid individual,A few times a week,19.0,High,Low,Purchase decision,Friend/family,Improve writing,7.0,5.0,55+,$75K-$99K,Yes,No,Positive,ChatGPT/OpenAI,4.0,1.0
R100024,2026-02-13,ChatGPT/OpenAI,33.0,25-34,Content Creator,Contract,Master's degree,82000.0,$75k-$99k,White,Northeast,Suburban,3.0,researching products,Data analysis,Debug this Python error and explain what happened.,Great for brainstorming when I do not know where to start.,Positive,Smartphone,Paid work/school,A few times a week,32.0,Moderate,Moderate,Problem recognition,YouTube,Reduce stress,,4.0,25-34,$75K-$99K,Yes,No,Positive,ChatGPT/OpenAI,3.0,2.0
R100025,2026-02-22,ChatGPT/OpenAI,42.0,35-44,Data Analyst,Contract,Bachelor's degree,143000.0,$100k-$149k,White,Northeast,Urban,1.0,Writing emails,Education,MAKE MY RESUME SOUND MORE CONFIDENT.,The tone options are actually really useful.,Positive,Laptop,Trial,Multiple times daily,9.0,High,Moderate,Evaluation of alternatives,Social media,Compare options,10.0,5.0,35-44,$100K-$149K,No,No,Positive,ChatGPT/OpenAI,4.0,2.0
R100026,04/22/2026,ChatGPT/OpenAI,18.0,18-24,Operations Coordinator,Full-time,High school,48000.0,$25k-$49k,Green,West,Urban,3.0,Healthcare admin notes,Research,"What should I cook with chicken, rice, and spinach?","Good for speed, bad for accuracy.",Mixed,Laptop,Free,Daily,10.0,Very high,High,Information search,Professor/teacher,Reduce stress,7.0,4.0,18-24,$40K-$74K,No,No,Mixed,ChatGPT/OpenAI,5.0,3.0
R100027,2026-03-20,ChatGPT/OpenAI,59.0,55-64,UX Designer,Full-time,Associate degree,57000.0,$50k-$74k,Lavender,West,Urban,2.0,Writing emails,Shopping decisions,Make a study guide for my marketing exam.,Surprisingly helpful; the answer was clear and easy to use.,Positive,Desktop,,Daily,31.0,High,Moderate,Evaluation of alternatives,News article,Have fun,9.0,5.0,55+,$40K-$74K,No,No,Positive,ChatGPT/OpenAI,4.0,2.0
R100028,2026-03-27,ChatGPT/OpenAI,43.0,55-64,Teacher,Self-employed,Bachelor's degree,,$100k-$149k,Blue,South,Rural,4.0,Customer service replies,Customer support,MAKE THIS SPREADSHEET EASIER TO UNDERSTAND.,the tone options are actually really useful.,Positive,Work computer,Paid individual,Daily,49.0,Very low,Moderate,Problem recognition,Search engine,Make better decisions,5.0,3.0,35-44,Unknown,Yes,No,Positive,ChatGPT/OpenAI,1.0,2.0
R100029,2026-05-26,ChatGPT/OpenAI,49.0,65+,Freelancer,,Associate degree,50000.0,$50k-$74k,Red,Midwest,Urban,1.0,Healthcare admin notes,Personal organization,,I worry about where my personal data goes.,Negative,Laptop,Free,Daily,17.0,Low,Moderate,Purchase decision,Social media,Reduce stress,3.0,2.0,45-54,$40K-$74K,No,No,Negative,ChatGPT/OpenAI,2.0,2.0
R100030,24-04-2026,ChatGPT/OpenAI,20.0,18-24,Product Manager,Self-employed,Associate degree,93000.0,$75k-$99k,Ivory,West,Rural,3.0,Legal research,Financial planning,"What should I cook with chicken, rice, and spinach?",I am still learning what it can do.,Neutral,Laptop,Paid individual,Multiple times daily,37.0,Moderate,Moderate,Postpurchase behavior,Coworker,curiosity,3.0,3.0,18-24,$75K-$99K,Yes,No,Neutral,ChatGPT/OpenAI,3.0,2.0
R100031,2026-03-02,ChatGPT/OpenAI,43.0,35-44,Marketing Manager,Full-time,Master's degree,112000.0,$100k-$149k,Purple,South,Suburban,1.0,Studying,Coding,SUMMARIZE THIS ARTICLE IN PLAIN ENGLISH.,It repeats the same advice over and over.,Negative,Work computer,Paid individual,Monthly,8.0,Moderate,Moderate,Postpurchase behavior,Employer,Save time,2.0,2.0,35-44,$100K-$149K,No,No,Negative,ChatGPT/OpenAI,3.0,2.0
R100032,2026-05-27,ChatGPT/OpenAI,53.0,45-54,Marketing Manager,Full-time,Master's degree,91000.0,$75k-$99k,Blue,South,Urban,1.0,legal research,Financial planning,Give me ideas for a weekend trip.,"It is worth trying, but not worth paying for yet.",Mixed,Smartphone,Paid work/school,Daily,18.0,Moderate,Moderate,Evaluation of alternatives,Employer,save time,7.0,6.0,45-54,$75K-$99K,Yes,Yes,Mixed,ChatGPT/OpenAI,3.0,2.0
R100033,2026-02-03,ChatGPT/OpenAI,24.0,18-24,Sales Associate,Full-time,Bachelor's degree,28000.0,$25k-$49k,rose,West,,2.0,personal finance,Research,Brainstorm TikTok captions for a new product launch.,The response felt robotic and missed the point.,Negative,Tablet,Free,Daily,0.0,High,Low,Postpurchase behavior,YouTube,Learn faster,3.0,3.0,18-24,Under $40K,No,No,Negative,ChatGPT/OpenAI,4.0,1.0
R100034,2026-03-31,ChatGPT/OpenAI,23.0,18-24,Accountant,Full-time,Doctorate,80000.0,$75k-$99k,Red,Northeast,Suburban,4.0,Social media captions,Coding,Help me plan a budget for next month.,The output is decent if I ask the question the right way.,Mixed,Laptop,Paid individual,Rarely,14.0,Moderate,Low,Information search,Social media,,3.0,3.0,18-24,$75K-$99K,No,No,Mixed,ChatGPT/OpenAI,3.0,1.0
R100035,2026-02-02,ChatGPT/OpenAI,66.0,65+,Chef,Part-time,Bachelor's degree,80000.0,$75k-$99k,Blue,West,Urban,3.0,Legal research,Education,Debug this Python error and explain what happened.,It repeats the same advice over and over.,Negative,Smartphone,Trial,Rarely,0.0,Moderate,Extreme,Postpurchase behavior,Employer,Reduce stress,3.0,2.0,55+,$75K-$99K,No,No,Negative,ChatGPT/OpenAI,3.0,4.0
R100036,2026-03-16,ChatGPT/OpenAI,39.0,35-44,Engineer,Part-time,Bachelor's degree,99000.0,$50-74k,Black,Midwest,Rural,2.0,Writing emails ,Productivity,  translate this message into spanish but keep it casual.   ,Great for brainstorming when I do not know where to start.,Positive,Work computer,Paid individual,A few times a week,,Moderate,Low,Information search,Coworker,Learn faster,10.0,5.0,35-44,$75K-$99K,Yes,No,Positive,ChatGPT/OpenAI,3.0,1.0
R100037,"May 04, 2026",ChatGPT/OpenAI,54.0,45-54,Nurse,Unemployed,Bachelor's degree,,$50k-$74k,BLUE,Midwest,Rural,1.0,Budget planning,Education,Make this spreadsheet easier to understand.,The free version is useful but too limited.,Negative,Laptop,Paid individual,Tried once,1.0,Moderate,High,Information search,YouTube,Learn faster,1.0,1.0,45-54,Unknown,No,No,Negative,ChatGPT/OpenAI,3.0,3.0
R100038,2026-04-12,ChatGPT/OpenAI,39.0,35-44,Administrative Assistant,Contract,Bachelor's degree,40000.0,$25k-$49k,yellow,South,,4.0,Social media captions,Career planning,Find patterns in this survey data.,It helped me organize my thoughts when I was stuck.,Positive,Laptop,Free,Multiple times daily,34.0,High,Moderate,Not sure,Friend/family,Reduce stress,9.0,5.0,35-44,$40K-$74K,No,No,Positive,ChatGPT/OpenAI,4.0,2.0
R100039,2026-05-06,ChatGPT/OpenAI,27.0,25-34,Product Manager,Self-employed,Bachelor's degree,83000.0,$75k-$99k,Green,West,,4.0,Summarizing articles,Career planning,Suggest questions to ask before buying a used car.,It helped me organize my thoughts when I was stuck.,Positive,Smartphone,Paid individual,Multiple times daily,14.0,Moderate,Moderate,Information search,News article,Compare options,7.0,4.0,25-34,$75K-$99K,Yes,No,Positive,ChatGPT/OpenAI,3.0,2.0
R100040,16-03-2026 ,ChatGPT/OpenAI,54.0,45-54,Teacher,Unemployed,Some college,31000.0,$25k-$49k,gold,South,Suburban,2.0,Scheduling,Customer support,  Make a study guide for my marketing exam.   ,The response felt robotic and missed the point.,Negative,laptop,Free,Rarely,,High,Low,Postpurchase behavior,Coworker,Automate routine work,1.0,2.0,45-54,Under $40K,No,No,Negative,ChatGPT/OpenAI,4.0,1.0
R100041,2026-05-02,ChatGPT/OpenAI,57.0,55-64,Chef,Full-time,Some college,43000.0,$25k-$49k,GREEN,West,Urban,4.0,Data analysis,Entertainment,Suggest questions to ask before buying a used car.,The tone options are actually really useful.,Positive,Tablet,Paid work/school,,38.0,High,Moderate,,Social media,,9.0,5.0,55+,$40K-$74K,No,No,Positive,ChatGPT/OpenAI,4.0,2.0
R100042,2026-02-15,ChatGPT/OpenAI,25.0,25-34,Customer Support Rep,Contract,Some college,19000.0,<$25k,Black,South,Urban,2.0,Travel planning,Coding,Can you check if this source is credible?,i like how fast it gives me a first draft.,Positive,Laptop,Paid individual,Monthly,,Moderate,Extreme,Postpurchase behavior,YouTube,less stress,4.0,3.0,25-34,Under $40K,No,No,Positive,ChatGPT/OpenAI,3.0,4.0
R100043,2026-03-21,ChatGPT/OpenAI,22.0,25-34,Researcher,Part-time,Some college,72000.0,$50k-$74k,Purple,South,Suburban,2.0,Travel planning,Personal organization,Explain this legal clause like I'm not a lawyer.,"It gave me fake citations, which is a big problem.",Negative,Smartphone,Trial,Daily,7.0,High,Low,Evaluation of alternatives,Professor/teacher,Make better decisions,2.0,3.0,18-24,$40K-$74K,No,No,Negative,ChatGPT/OpenAI,4.0,1.0
R100044,05/15/2026,ChatGPT/OpenAI,20.0,25-34,Marketing Manager,Full-time,Bachelor's degree,94000.0,$75k-$99k,Blue,South,Suburban,,Legal research,Career planning,Compare three laptops for a college student under $900.,It made me look bad in a meeting because I trusted it.,Ugly,Laptop,Trial,Multiple times daily,19.0,Moderate,Extreme,Evaluation of alternatives,Professor/teacher,Compare options,0.0,1.0,18-24,$75K-$99K,No,No,Ugly,ChatGPT/OpenAI,3.0,4.0
R100045,2026-05-28,Other,34.0,25-34,Small Business Owner,Student,Master's degree,105000.0,$100k-$149k,Black,Midwest,Urban,3.0,Writing emails,Coding,Make a study guide for my marketing exam.,"It is helpful, but I do not trust it for important decisions.",Negative,Laptop,Paid individual,A few times a week,9.0,Low,Extreme,Problem recognition,Professor/teacher,Reduce stress,2.0,2.0,25-34,$100K-$149K,Yes,No,Negative,Other,2.0,4.0
R100046,2026-05-01,ChatGPT/OpenAI,33.0,25-34,Freelancer,Freelance,Associate degree,62000.0,$50k-$74k,Purple,South,Suburban,2.0,Researching products,Coding,Make a study guide for my marketing exam.,I stopped using it after it made a mistake at work.,Negative,Laptop,Free,Daily,8.0,Very high,Low,,News article,Save time,3.0,3.0,25-34,$40K-$74K,No,No,Negative,ChatGPT/OpenAI,5.0,1.0
R100047,2026-03-28,ChatGPT/OpenAI,40.0,35-44,designer,Full-time,Some college,,$75k-$99k,Black,Northeast,Suburban,4.0,Brainstorming content,Entertainment,Make my resume sound more confident.,"It is helpful, but I do not trust it for important decisions.",Negative,Laptop,Paid work/school,Multiple times daily,27.0,Very low,High,Evaluation of alternatives,Social media,Save time,6.0,3.0,35-44,Unknown,Yes,No,Negative,ChatGPT/OpenAI,1.0,3.0
R100048,Spring 2026,ChatGPT/OpenAI,48.0,45-54,Customer Support Rep,Student,Associate degree,27000.0,$25k-$49k,Orange,West,Urban,2.0,Customer service replies,Entertainment,Translate this message into Spanish but keep it casual.,"I like it for ideas, but privacy still bothers me.",Mixed,Laptop,Free,A few times a week,0.0,Low,Extreme,Postpurchase behavior,Professor/teacher,Learn faster,0.0,1.0,45-54,Under $40K,No,No,Mixed,ChatGPT/OpenAI,2.0,4.0
R100049,2026-04-07,ChatGPT/OpenAI,34.0,25-34,Retail Manager,Full-time,Master's degree,80000.0,$25k-$49k,Blue,Northeast,rural,3.0,budget planning,Productivity,Explain this legal clause like I'm not a lawyer.,"It helps me start, but I finish the work myself.",Mixed,Smartphone,Trial,Daily,0.0,High,High,Evaluation of alternatives,Friend/family,Compare options,6.0,3.0,25-34,$75K-$99K,No,No,Mixed,ChatGPT/OpenAI,4.0,3.0
R100050,2026-04-26,ChatGPT/OpenAI,45.0,65+,Content Creator,Full-time,Bachelor's degree,73000.0,$50k-$74k,green,West,Urban,1.0,Legal research,Career planning,Suggest questions to ask before buying a used car.,It is becoming part of my daily workflow.,Positive,Smartphone,Free,Daily,0.0,Moderate,Moderate,,Professor/teacher,Be more creative,7.0,4.0,45-54,$40K-$74K,No,No,Positive,ChatGPT/OpenAI,3.0,2.0
R100051,,ChatGPT/OpenAI,26.0,25-34,Journalist,Self-employed,Master's degree,109000.0,$100k-$149k,BLACK,Northeast,Suburban,1.0,Scheduling,Creative writing,Create a 7-day meal plan for a busy family.,It worked fine for a simple task.,Neutral,Desktop,Free,Monthly,4.0,High,Moderate,Information search,Friend/family,Improve writing,8.0,4.0,25-34,$100K-$149K,No,No,Neutral,ChatGPT/OpenAI,4.0,2.0
R100052,2026-03-11,ChatGPT/OpenAI,34.0,25-34,Sales Associate,Full-time,Some college,49000.0,$25k-$49k,Orange,West,Suburban,4.0,Translation,Education,Create a 7-day meal plan for a busy family.,it helped me organize my thoughts when i was stuck.,Positive,Laptop,Trial,Daily,0.0,Moderate,Extreme,Problem recognition,Social media,Compare options,8.0,4.0,25-34,$40K-$74K,No,No,Positive,ChatGPT/OpenAI,3.0,4.0
R100053,2026-02-04,ChatGPT/OpenAI,41.0,35-44,Content Creator,Student,Bachelor's degree,59000.0,$50k-$74k,Purple,South,Suburban,5.0,Budget planning,Creative writing,,"Great assistant, terrible source checker.",Mixed,Smartphone,Paid work/school,Monthly,4.0,High,High,Evaluation of alternatives,Employer,Have fun,8.0,4.0,35-44,$40K-$74K,No,No,Mixed,ChatGPT/OpenAI,4.0,3.0
R100054,2026-05-08,ChatGPT/OpenAI,43.0,35-44,Consultant,Contract,Bachelor's degree,108000.0,$100k-$149k,Green,South,Rural,1.0,Social media captions,Career planning,Find patterns in this survey data.,"Good for speed, bad for accuracy.",Mixed,Laptop,Free,Multiple times daily,10.0,Moderate,Moderate,Purchase decision,YouTube,Be more creative,2.0,2.0,35-44,$100K-$149K,No,No,Mixed,ChatGPT/OpenAI,3.0,2.0
R100055,"Feb 08, 2026",ChatGPT/OpenAI,41.0,35-44,Data Analyst,Part-time,Bachelor's degree,120000.0,$100k-$149k,Yellow,Northeast,Rural,2.0,Healthcare admin notes,Entertainment,translate this message into spanish but keep it casual.,"It is helpful, but I do not trust it for important decisions.",Negative,Laptop,Trial,Daily,0.0,Moderate,High,Postpurchase behavior,Friend/family,Learn faster,0.0,2.0,35-44,$100K-$149K,No,No,Negative,ChatGPT/OpenAI,3.0,3.0
R100056,27-05-2026,ChatGPT/OpenAI,33.0,25-34,Mktg Manager,Full-time,Master's degree,87000.0,$75k-$99k,Teal,Midwest,Suburban,4.0,Coding,Marketing content,"What should I cook with chicken, rice, and spinach?",It saved me an hour and made the task feel manageable.,,Laptop,Not sure,Monthly,0.0,High,Low,Problem recognition,Employer,Automate routine work,10.0,5.0,25-34,$75K-$99K,No,No,,ChatGPT/OpenAI,4.0,1.0
R100057,2026-04-22,ChatGPT/OpenAI,58.0,55-64,Retail Manager,Student,Some college,39000.0,not saying,mint,Midwest,Urban,5.0,Customer service replies,Customer support,"What should I cook with chicken, rice, and spinach?","It helps with boring tasks, but it makes mistakes quietly.",Mixed,Shared device,Free,Daily,10.0,Moderate,Moderate,Postpurchase behavior,Podcast,Compare options,6.0,3.0,55+,Under $40K,No,No,Mixed,ChatGPT/OpenAI,3.0,2.0
R100058,03/11/2026,ChatGPT/OpenAI,44.0,35-44,HR Specialist,Full-time,Some college,58000.0,$25k-$49k,Orange,West,Rural,1.0,Budget planning,Coding,Explain this legal clause like I'm not a lawyer.,It repeats the same advice over and over.,Negative,Desktop,Trial,Daily,17.0,Moderate,,Problem recognition,Ad,Be more creative,1.0,2.0,35-44,$40K-$74K,No,No,Negative,ChatGPT/OpenAI,3.0,
R100059,2026-02-01,ChatGPT/OpenAI,40.0,55-64,Mktg Manager,Self-employed,Bachelor's degree,85000.0,$75k-$99k,black,Midwest,Urban,3.0,studying ,Coding,Write a bedtime story about a robot dog.,I like how fast it gives me a first draft.,Positive,Smartphone,,Rarely,,Moderate,Moderate,Postpurchase behavior,News article,Compare options,6.0,3.0,35-44,$75K-$99K,No,No,Positive,ChatGPT/OpenAI,3.0,2.0
R100060,"Mar 25, 2026",ChatGPT/OpenAI,38.0,35-44,Small Business Owner,Full-time,Some college,38000.0,$25k-$49k,Orange,Northeast,Urban,2.0,Scheduling,Financial planning,Write a bedtime story about a robot dog.,It helped me organize my thoughts when I was stuck.,Positive,Desktop,Paid individual,Daily,36.0,Moderate,Moderate,Evaluation of alternatives,Friend/family,Compare options,,5.0,35-44,Under $40K,Yes,No,Positive,ChatGPT/OpenAI,3.0,2.0
